Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s)
RNN,Tanh,SGD,25,Yes,0.51696,0.5162074541152977,3.2236483573913572
RNN,Tanh,SGD,50,Yes,0.5162,0.508187404139341,4.623437547683716
RNN,Tanh,SGD,100,Yes,0.51252,0.5015002939107145,8.280066347122192
RNN,Tanh,SGD,25,No,0.50732,0.503590263969732,2.6054880619049072
RNN,Tanh,SGD,50,No,0.5106,0.4839127353169166,4.94956226348877
RNN,Tanh,SGD,100,No,0.51276,0.5124801238094447,7.77644681930542
RNN,Sigmoid,Adam,25,Yes,0.63684,0.6368297214095072,4.6410462856292725
RNN,Tanh,Adam,50,Yes,0.68328,0.682804448248505,6.142604732513428
RNN,Tanh,Adam,100,Yes,0.59008,0.5874924888854827,9.961429452896118
RNN,ReLU,Adam,25,No,0.71304,0.7125856388227838,3.9712249755859377
RNN,ReLU,Adam,50,No,0.7274,0.7272381404940553,5.502564191818237
RNN,ReLU,Adam,100,No,0.55148,0.4912960024681576,8.441077613830567
RNN,ReLU,RMSProp,25,Yes,0.694,0.6877894192083938,3.8966973781585694
RNN,ReLU,RMSProp,50,Yes,0.73272,0.7257912152086996,6.265688896179199
RNN,ReLU,RMSProp,100,Yes,0.76684,0.7635589453147009,9.722156715393066
RNN,ReLU,RMSProp,25,No,0.69704,0.6965025891222271,4.297729396820069
RNN,ReLU,RMSProp,50,No,0.74068,0.7355769615501786,5.007329940795898
RNN,ReLU,RMSProp,100,No,0.68824,0.6819198356886512,7.952067041397095
LSTM,ReLU,SGD,25,Yes,0.5,0.3333333333333333,6.074688959121704
LSTM,ReLU,SGD,50,Yes,0.5,0.3333333333333333,11.074858856201171
LSTM,ReLU,SGD,100,Yes,0.50044,0.33438125568498045,20.284842586517335
LSTM,ReLU,SGD,25,No,0.5018,0.3765616929370872,5.855221843719482
LSTM,ReLU,SGD,50,No,0.51028,0.4611761563575586,10.599799585342407
LSTM,ReLU,SGD,100,No,0.49992,0.3332977758813803,21.61587791442871
LSTM,ReLU,Adam,25,Yes,0.71488,0.7147948381950133,8.598430824279784
LSTM,ReLU,Adam,50,Yes,0.75836,0.7582267078696063,13.14342999458313
LSTM,ReLU,Adam,100,Yes,0.80352,0.8035199886827513,20.681129503250123
LSTM,Tanh,Adam,25,No,0.71584,0.7157527501929728,8.899549102783203
LSTM,Tanh,Adam,50,No,0.75816,0.757793868034908,15.501938438415527
LSTM,Tanh,Adam,100,No,0.82436,0.8241610118794289,21.316107273101807
LSTM,Sigmoid,RMSProp,25,Yes,0.71872,0.7186239071379763,7.409801435470581
LSTM,Tanh,RMSProp,50,Yes,0.75284,0.7516271420836538,13.808767652511596
LSTM,Tanh,RMSProp,100,Yes,0.81012,0.8097010594704899,22.39959559440613
LSTM,Tanh,RMSProp,25,No,0.7096,0.709571419968982,7.303788042068481
LSTM,Tanh,RMSProp,50,No,0.76576,0.765575159201208,12.446337890625
Bidirectional LSTM,Tanh,SGD,25,Yes,0.5004,0.3375955817224358,11.826622104644775
Bidirectional LSTM,Tanh,SGD,50,Yes,0.51604,0.5112965512775633,22.85312247276306
Bidirectional LSTM,Tanh,SGD,100,Yes,0.5122,0.5035445162875576,46.29312958717346
Bidirectional LSTM,Tanh,SGD,25,No,0.50404,0.3817961920763449,12.016837167739869
Bidirectional LSTM,Tanh,SGD,50,No,0.50968,0.44282263923706794,21.04132056236267
Bidirectional LSTM,Tanh,SGD,100,No,0.51548,0.5055948838845932,41.62164678573608
Bidirectional LSTM,Sigmoid,Adam,25,Yes,0.71276,0.7127277220868538,15.345359230041504
Bidirectional LSTM,Sigmoid,Adam,50,Yes,0.77476,0.7744709529521416,28.54796051979065
Bidirectional LSTM,Tanh,Adam,100,Yes,0.81056,0.8100760299658702,53.861753416061404
Bidirectional LSTM,ReLU,Adam,25,No,0.7186,0.7184340116690647,14.818634366989135
Bidirectional LSTM,ReLU,Adam,50,No,0.76896,0.7689597101830605,27.30985746383667
Bidirectional LSTM,ReLU,Adam,100,No,0.81756,0.8173817760087617,47.0044590473175
Bidirectional LSTM,ReLU,RMSProp,25,Yes,0.71144,0.7112187408818138,11.920126676559448
Bidirectional LSTM,ReLU,RMSProp,50,Yes,0.7734,0.7733511566302966,21.158831930160524
Bidirectional LSTM,ReLU,RMSProp,100,Yes,0.81372,0.8136620172844536,39.05397515296936
Bidirectional LSTM,ReLU,RMSProp,25,No,0.71212,0.7112667905943675,10.776814937591553
Bidirectional LSTM,ReLU,RMSProp,50,No,0.7634,0.7626673746912106,20.82578911781311
